1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.7526,1.7811,1.8058,1.827,1.8452,1.8606,1.8736,1.8845,1.8936,1.9011,1.9073,1.9124,1.9165,1.9198,1.9225,1.9246,1.9262,1.9275,1.9285,1.9293,1.9299,1.9303,1.9307,1.9309,1.9311,1.9312,1.9313,1.9314,1.9315,1.9315,1.9315,1.9315,1.9316,1.9316,1.9316,1.9316,1.9316,1.9316,1.9316,1.9316,1.9316,1.9316,1.9316,1.9316,1.9316,1.9316,1.9316,1.9316,1.9316,1.9316
2.2891,2.3393,2.3847,2.4258,2.4629,2.4963,2.5262,2.553,2.5769,2.5981,2.6169,2.6335,2.6481,2.661,2.6722,2.682,2.6905,2.6979,2.7042,2.7097,2.7143,2.7183,2.7217,2.7246,2.727,2.729,2.7307,2.7321,2.7333,2.7342,2.735,2.7357,2.7362,2.7366,2.737,2.7373,2.7375,2.7377,2.7378,2.738,2.7381,2.7381,2.7382,2.7382,2.7383,2.7383,2.7383,2.7383,2.7383,2.7383
2.698,2.7646,2.8263,2.8833,2.9358,2.9841,3.0285,3.0693,3.1065,3.1406,3.1716,3.1999,3.2256,3.2488,3.2699,3.2888,3.3059,3.3213,3.3351,3.3474,3.3584,3.3682,3.377,3.3847,3.3915,3.3975,3.4028,3.4075,3.4116,3.4151,3.4182,3.4209,3.4233,3.4253,3.427,3.4285,3.4298,3.4309,3.4318,3.4326,3.4332,3.4338,3.4343,3.4346,3.4349,3.4352,3.4354,3.4355,3.4356,3.4356
3.0157,3.0952,3.1697,3.2393,3.3042,3.3648,3.4212,3.4736,3.5222,3.5674,3.6092,3.6478,3.6835,3.7165,3.7468,3.7747,3.8003,3.8237,3.8452,3.8648,3.8827,3.899,3.9139,3.9273,3.9395,3.9506,3.9605,3.9695,3.9776,3.9849,3.9914,3.9972,4.0024,4.007,4.0111,4.0148,4.018,4.0208,4.0233,4.0255,4.0274,4.029,4.0304,4.0316,4.0326,4.0334,4.034,4.0344,4.0347,4.0347
3.2658,3.3556,3.4402,3.5199,3.5948,3.6653,3.7314,3.7934,3.8515,3.9059,3.9568,4.0044,4.0487,4.0901,4.1286,4.1644,4.1977,4.2286,4.2573,4.2838,4.3083,4.3309,4.3518,4.3711,4.3888,4.405,4.4199,4.4336,4.4461,4.4575,4.4679,4.4774,4.486,4.4938,4.5009,4.5073,4.513,4.5182,4.5228,4.5269,4.5305,4.5336,4.5364,4.5387,4.5407,4.5423,4.5436,4.5445,4.545,4.5452
3.4647,3.5626,3.6553,3.7431,3.8261,3.9045,3.9785,4.0484,4.1143,4.1764,4.2348,4.2898,4.3415,4.39,4.4355,4.4782,4.5182,4.5556,4.5905,4.6232,4.6537,4.6821,4.7085,4.7331,4.756,4.7772,4.7969,4.8151,4.832,4.8475,4.8619,4.8751,4.8872,4.8984,4.9086,4.9179,4.9264,4.9341,4.941,4.9472,4.9528,4.9577,4.9621,4.9658,4.9689,4.9715,4.9735,4.975,4.9758,4.9761
3.6235,3.7279,3.8271,3.9213,4.0108,4.0957,4.1762,4.2525,4.3248,4.3932,4.4579,4.519,4.5768,4.6313,4.6827,4.7312,4.7769,4.8199,4.8603,4.8983,4.934,4.9675,4.9989,5.0283,5.0558,5.0816,5.1056,5.128,5.1489,5.1683,5.1863,5.2031,5.2186,5.2329,5.2462,5.2583,5.2695,5.2797,5.289,5.2973,5.3049,5.3116,5.3175,5.3226,5.3269,5.3305,5.3333,5.3353,5.3366,5.337
3.7501,3.8597,3.9641,4.0636,4.1583,4.2484,4.3341,4.4156,4.4931,4.5667,4.6365,4.7027,4.7656,4.8251,4.8815,4.9349,4.9854,5.0331,5.0782,5.1208,5.161,5.1989,5.2346,5.2682,5.2998,5.3294,5.3573,5.3835,5.408,5.4309,5.4523,5.4723,5.4908,5.5081,5.5242,5.539,5.5526,5.5652,5.5766,5.587,5.5964,5.6048,5.6122,5.6187,5.6242,5.6287,5.6322,5.6348,5.6364,5.6369
3.8517,3.9655,4.0741,4.1778,4.2767,4.3711,4.4611,4.5468,4.6285,4.7063,4.7804,4.8508,4.9178,4.9815,5.042,5.0994,5.1539,5.2056,5.2547,5.3011,5.3451,5.3867,5.426,5.4632,5.4983,5.5314,5.5626,5.592,5.6196,5.6456,5.6699,5.6927,5.714,5.7339,5.7524,5.7696,5.7855,5.8001,5.8135,5.8257,5.8368,5.8467,5.8555,5.8631,5.8697,5.875,5.8793,5.8823,5.8842,5.8848
3.9332,4.0503,4.1623,4.2694,4.3717,4.4695,4.5629,4.6521,4.7373,4.8185,4.896,4.9698,5.0402,5.1073,5.1712,5.232,5.2898,5.3448,5.3971,5.4468,5.4939,5.5387,5.5811,5.6213,5.6593,5.6954,5.7294,5.7615,5.7918,5.8204,5.8472,5.8725,5.8961,5.9182,5.9389,5.9581,5.9759,5.9924,6.0075,6.0213,6.0339,6.0451,6.0551,6.0638,6.0712,6.0774,6.0822,6.0857,6.0879,6.0886
3.999,4.1189,4.2336,4.3434,4.4485,4.5491,4.6452,4.7372,4.8252,4.9092,4.9895,5.0661,5.1393,5.2092,5.2758,5.3394,5.3999,5.4576,5.5126,5.5649,5.6147,5.662,5.707,5.7497,5.7902,5.8286,5.865,5.8994,5.932,5.9627,5.9917,6.0189,6.0446,6.0686,6.0911,6.112,6.1315,6.1495,6.166,6.1812,6.195,6.2074,6.2184,6.228,6.2362,6.243,6.2484,6.2523,6.2546,6.2554
4.0522,4.1742,4.2911,4.4032,4.5105,4.6133,4.7117,4.806,4.8962,4.9825,5.065,5.144,5.2194,5.2916,5.3605,5.4263,5.4891,5.549,5.6061,5.6606,5.7126,5.762,5.8091,5.8538,5.8964,5.9368,5.9751,6.0115,6.0459,6.0784,6.1091,6.1381,6.1654,6.191,6.215,6.2373,6.2582,6.2775,6.2953,6.3116,6.3264,6.3397,6.3516,6.362,6.3709,6.3782,6.384,6.3882,6.3908,6.3916
4.0948,4.2185,4.3372,4.451,4.5602,4.6648,4.765,4.8611,4.9531,5.0413,5.1257,5.2064,5.2837,5.3577,5.4284,5.496,5.5607,5.6224,5.6814,5.7376,5.7913,5.8425,5.8913,5.9377,5.9819,6.024,6.0639,6.1018,6.1378,6.1718,6.204,6.2344,6.263,6.2899,6.3152,6.3388,6.3607,6.3811,6.3999,6.4172,6.4329,6.447,6.4596,6.4706,6.48,6.4879,6.494,6.4985,6.5012,6.5021
