10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
9.0921,9.0577,9.0279,9.0023,8.9804,8.9618,8.9461,8.9329,8.922,8.9129,8.9054,8.8993,8.8943,8.8903,8.8871,8.8846,8.8826,8.881,8.8798,8.8789,8.8781,8.8776,8.8772,8.8769,8.8767,8.8765,8.8764,8.8763,8.8762,8.8762,8.8761,8.8761,8.8761,8.8761,8.8761,8.8761,8.8761,8.8761,8.8761,8.8761,8.8761,8.8761,8.8761,8.8761,8.8761,8.8761,8.8761,8.8761,8.8761,8.8761
8.4419,8.3813,8.3264,8.2767,8.2318,8.1915,8.1552,8.1228,8.094,8.0683,8.0455,8.0254,8.0077,7.9921,7.9785,7.9667,7.9564,7.9474,7.9397,7.9331,7.9275,7.9227,7.9186,7.9151,7.9122,7.9097,7.9077,7.906,7.9046,7.9034,7.9024,7.9016,7.901,7.9005,7.9,7.8997,7.8994,7.8992,7.899,7.8989,7.8987,7.8987,7.8986,7.8985,7.8985,7.8985,7.8984,7.8984,7.8984,7.8984
7.944,7.8632,7.7885,7.7195,7.6558,7.5972,7.5434,7.494,7.4488,7.4075,7.3698,7.3355,7.3044,7.2761,7.2506,7.2275,7.2067,7.1881,7.1713,7.1563,7.1429,7.131,7.1204,7.111,7.1027,7.0954,7.0889,7.0833,7.0783,7.074,7.0702,7.0669,7.0641,7.0616,7.0595,7.0577,7.0562,7.0548,7.0537,7.0527,7.0519,7.0513,7.0507,7.0502,7.0499,7.0496,7.0494,7.0492,7.0491,7.0491
7.5547,7.4581,7.3677,7.2832,7.2044,7.1308,7.0623,6.9986,6.9394,6.8845,6.8337,6.7866,6.7432,6.7031,6.6662,6.6322,6.601,6.5725,6.5463,6.5224,6.5005,6.4806,6.4626,6.4461,6.4312,6.4178,6.4056,6.3946,6.3847,6.3759,6.3679,6.3608,6.3545,6.3488,6.3438,6.3393,6.3354,6.3319,6.3289,6.3262,6.3239,6.3219,6.3202,6.3188,6.3176,6.3166,6.3159,6.3154,6.315,6.3149
7.2461,7.1369,7.034,6.9371,6.8459,6.7601,6.6796,6.604,6.5332,6.4669,6.4048,6.3468,6.2927,6.2422,6.1951,6.1514,6.1107,6.0729,6.0379,6.0055,5.9755,5.9478,5.9223,5.8987,5.877,5.8571,5.8389,5.8221,5.8068,5.7928,5.78,5.7684,5.7578,5.7483,5.7396,5.7318,5.7247,5.7184,5.7127,5.7077,5.7033,5.6994,5.696,5.6931,5.6907,5.6887,5.6872,5.6861,5.6854,5.6852
6.9988,6.8795,6.7665,6.6596,6.5584,6.4627,6.3723,6.287,6.2065,6.1306,6.0591,5.9919,5.9287,5.8693,5.8136,5.7613,5.7123,5.6664,5.6236,5.5835,5.5461,5.5112,5.4787,5.4485,5.4204,5.3943,5.3701,5.3477,5.327,5.3079,5.2902,5.2739,5.259,5.2452,5.2327,5.2212,5.2108,5.2013,5.1927,5.185,5.1782,5.1721,5.1668,5.1622,5.1583,5.1551,5.1526,5.1508,5.1497,5.1494
6.7996,6.6722,6.5511,6.4359,6.3266,6.2228,6.1243,6.0309,5.9424,5.8586,5.7793,5.7043,5.6335,5.5665,5.5034,5.4438,5.3877,5.3348,5.285,5.2383,5.1943,5.1531,5.1144,5.0781,5.0442,5.0125,4.9828,4.9552,4.9294,4.9054,4.8831,4.8624,4.8432,4.8255,4.8091,4.7941,4.7802,4.7676,4.7561,4.7458,4.7364,4.7281,4.7208,4.7145,4.7091,4.7046,4.7012,4.6987,4.6971,4.6966
6.6391,6.5051,6.3773,6.2556,6.1396,6.0291,5.924,5.824,5.729,5.6386,5.5528,5.4714,5.3941,5.3208,5.2513,5.1856,5.1233,5.0644,5.0088,4.9562,4.9065,4.8597,4.8156,4.774,4.7349,4.6981,4.6636,4.6312,4.6008,4.5724,4.5459,4.5211,4.498,4.4765,4.4566,4.4382,4.4212,4.4056,4.3914,4.3784,4.3667,4.3563,4.347,4.339,4.3322,4.3265,4.3221,4.3189,4.317,4.3163
6.5086,6.3692,6.2361,6.1089,5.9875,5.8717,5.7611,5.6557,5.5551,5.4594,5.3682,5.2813,5.1987,5.1201,5.0454,4.9744,4.907,4.843,4.7823,4.7248,4.6702,4.6186,4.5698,4.5237,4.4801,4.4389,4.4001,4.3636,4.3292,4.2969,4.2665,4.2381,4.2115,4.1867,4.1637,4.1422,4.1224,4.1041,4.0873,4.0721,4.0582,4.0458,4.0348,4.0253,4.0171,4.0104,4.005,4.0012,3.9989,3.9981
6.4025,6.2588,6.1213,5.9897,5.8638,5.7435,5.6285,5.5186,5.4136,5.3133,5.2176,5.1263,5.0393,4.9562,4.8771,4.8018,4.73,4.6618,4.5968,4.5351,4.4765,4.4208,4.368,4.3179,4.2704,4.2255,4.183,4.1429,4.105,4.0693,4.0357,4.0041,3.9745,3.9468,3.9209,3.8968,3.8744,3.8538,3.8348,3.8174,3.8017,3.7875,3.775,3.764,3.7547,3.747,3.7409,3.7364,3.7338,3.7328
6.3154,6.1681,6.027,5.8918,5.7623,5.6383,5.5196,5.406,5.2973,5.1934,5.094,4.999,4.9082,4.8215,4.7387,4.6598,4.5844,4.5125,4.4441,4.3788,4.3167,4.2576,4.2014,4.148,4.0973,4.0492,4.0036,3.9605,3.9196,3.881,3.8446,3.8103,3.7781,3.7479,3.7196,3.6932,3.6687,3.646,3.625,3.6059,3.5885,3.5729,3.5589,3.5468,3.5364,3.5278,3.521,3.5161,3.5131,3.5121
6.2438,6.0936,5.9495,5.8113,5.6788,5.5518,5.43,5.3134,5.2016,5.0946,4.9921,4.8941,4.8003,4.7105,4.6247,4.5427,4.4643,4.3895,4.318,4.2499,4.1849,4.1229,4.0639,4.0077,3.9542,3.9035,3.8552,3.8095,3.7661,3.7251,3.6863,3.6497,3.6153,3.5829,3.5526,3.5242,3.4979,3.4734,3.4508,3.4302,3.4114,3.3944,3.3794,3.3662,3.3549,3.3456,3.3382,3.3329,3.3296,3.3285
6.1851,6.0325,5.886,5.7454,5.6104,5.4809,5.3566,5.2375,5.1232,5.0137,4.9087,4.8081,4.7117,4.6194,4.5311,4.4465,4.3657,4.2883,4.2144,4.1438,4.0764,4.012,3.9506,3.8921,3.8364,3.7833,3.7329,3.6849,3.6395,3.5964,3.5556,3.5171,3.4807,3.4466,3.4145,3.3845,3.3565,3.3306,3.3066,3.2846,3.2646,3.2466,3.2305,3.2165,3.2044,3.1945,3.1866,3.1809,3.1774,3.1762
6.1369,5.9823,5.8338,5.6911,5.5541,5.4226,5.2962,5.175,5.0586,4.947,4.8399,4.7372,4.6387,4.5444,4.4539,4.3673,4.2843,4.2049,4.129,4.0563,3.9868,3.9205,3.8571,3.7966,3.739,3.684,3.6317,3.582,3.5347,3.4899,3.4474,3.4072,3.3693,3.3336,3.3001,3.2687,3.2394,3.2122,3.187,3.164,3.1429,3.124,3.1071,3.0923,3.0796,3.0691,3.0608,3.0548,3.0511,3.0499
