10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
9.5047,9.4952,9.4867,9.479,9.4722,9.466,9.4606,9.4557,9.4515,9.4477,9.4444,9.4415,9.439,9.4368,9.4349,9.4332,9.4318,9.4306,9.4296,9.4287,9.4279,9.4273,9.4268,9.4263,9.4259,9.4256,9.4253,9.4251,9.4249,9.4248,9.4247,9.4246,9.4245,9.4244,9.4244,9.4243,9.4243,9.4242,9.4242,9.4242,9.4242,9.4242,9.4242,9.4242,9.4242,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241,9.4241
9.1001,9.0825,9.0662,9.051,9.0369,9.0237,9.0116,9.0004,8.99,8.9805,8.9717,8.9636,8.9561,8.9493,8.9431,8.9374,8.9322,8.9275,8.9232,8.9193,8.9158,8.9126,8.9098,8.9072,8.9048,8.9027,8.9009,8.8992,8.8977,8.8964,8.8952,8.8941,8.8932,8.8924,8.8916,8.891,8.8904,8.8899,8.8895,8.8891,8.8888,8.8885,8.8882,8.888,8.8878,8.8876,8.8875,8.8874,8.8873,8.8872,8.8871,8.887,8.887,8.8869,8.8869,8.8868,8.8868,8.8868,8.8867,8.8867,8.8867,8.8867,8.8867,8.8867,8.8867,8.8867,8.8867,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866,8.8866
8.7542,8.7297,8.7066,8.6847,8.6641,8.6447,8.6264,8.6092,8.593,8.5778,8.5635,8.5502,8.5377,8.5259,8.515,8.5048,8.4953,8.4864,8.4782,8.4705,8.4634,8.4568,8.4506,8.445,8.4398,8.4349,8.4305,8.4264,8.4226,8.4191,8.4159,8.413,8.4103,8.4079,8.4057,8.4036,8.4018,8.4001,8.3986,8.3972,8.3959,8.3948,8.3937,8.3928,8.392,8.3912,8.3905,8.3899,8.3894,8.3889,8.3884,8.388,8.3877,8.3874,8.3871,8.3868,8.3866,8.3864,8.3862,8.3861,8.3859,8.3858,8.3857,8.3856,8.3855,8.3855,8.3854,8.3853,8.3853,8.3852,8.3852,8.3852,8.3851,8.3851,8.3851,8.3851,8.3851,8.385,8.385,8.385,8.385,8.385,8.385,8.385,8.385,8.385,8.385,8.385,8.385,8.385,8.385,8.385,8.385,8.385,8.385,8.385,8.385,8.385,8.385,8.385
8.4536,8.423,8.394,8.3663,8.3399,8.3148,8.291,8.2683,8.2468,8.2264,8.207,8.1887,8.1713,8.1549,8.1394,8.1247,8.1109,8.0978,8.0855,8.074,8.0631,8.0528,8.0432,8.0341,8.0257,8.0177,8.0103,8.0033,7.9968,7.9907,7.9851,7.9798,7.9748,7.9703,7.966,7.962,7.9583,7.9549,7.9518,7.9488,7.9461,7.9436,7.9413,7.9392,7.9372,7.9354,7.9337,7.9322,7.9308,7.9295,7.9283,7.9272,7.9262,7.9253,7.9245,7.9238,7.9231,7.9225,7.9219,7.9214,7.9209,7.9205,7.9201,7.9198,7.9194,7.9192,7.9189,7.9187,7.9185,7.9183,7.9181,7.918,7.9178,7.9177,7.9176,7.9175,7.9174,7.9173,7.9173,7.9172,7.9171,7.9171,7.917,7.917,7.917,7.9169,7.9169,7.9169,7.9169,7.9169,7.9168,7.9168,7.9168,7.9168,7.9168,7.9168,7.9168,7.9168,7.9168,7.9168
8.1903,8.1545,8.1202,8.0873,8.0558,8.0257,7.9968,7.9692,7.9429,7.9177,7.8937,7.8708,7.8489,7.8281,7.8082,7.7893,7.7713,7.7543,7.738,7.7226,7.708,7.6941,7.6809,7.6685,7.6566,7.6455,7.6349,7.6249,7.6155,7.6066,7.5982,7.5903,7.5829,7.5759,7.5693,7.5631,7.5573,7.5518,7.5467,7.5419,7.5374,7.5332,7.5292,7.5256,7.5221,7.5189,7.5159,7.5131,7.5105,7.5081,7.5059,7.5038,7.5019,7.5001,7.4984,7.4969,7.4955,7.4941,7.4929,7.4918,7.4908,7.4898,7.4889,7.4881,7.4874,7.4867,7.4861,7.4855,7.485,7.4845,7.4841,7.4837,7.4833,7.483,7.4827,7.4824,7.4821,7.4819,7.4817,7.4815,7.4813,7.4812,7.481,7.4809,7.4808,7.4807,7.4806,7.4805,7.4804,7.4804,7.4803,7.4803,7.4802,7.4802,7.4801,7.4801,7.4801,7.4801,7.4801,7.4801
7.9581,7.9176,7.8787,7.8412,7.8051,7.7705,7.7372,7.7052,7.6744,7.645,7.6167,7.5896,7.5636,7.5387,7.5148,7.492,7.4701,7.4493,7.4293,7.4102,7.392,7.3747,7.3581,7.3423,7.3272,7.3129,7.2993,7.2863,7.2739,7.2622,7.251,7.2404,7.2304,7.2209,7.2118,7.2033,7.1952,7.1875,7.1803,7.1734,7.1669,7.1608,7.1551,7.1496,7.1445,7.1397,7.1351,7.1309,7.1269,7.1231,7.1195,7.1162,7.1131,7.1102,7.1074,7.1049,7.1025,7.1002,7.0982,7.0962,7.0944,7.0927,7.0911,7.0896,7.0883,7.087,7.0858,7.0847,7.0837,7.0828,7.0819,7.0811,7.0803,7.0796,7.079,7.0784,7.0779,7.0774,7.0769,7.0765,7.0761,7.0757,7.0754,7.0751,7.0748,7.0746,7.0744,7.0742,7.074,7.0738,7.0737,7.0736,7.0734,7.0733,7.0733,7.0732,7.0732,7.0731,7.0731,7.0731
7.7523,7.7076,7.6646,7.623,7.5828,7.5441,7.5068,7.4709,7.4362,7.4028,7.3707,7.3397,7.31,7.2814,7.2538,7.2274,7.202,7.1776,7.1542,7.1317,7.1102,7.0895,7.0698,7.0508,7.0326,7.0153,6.9987,6.9828,6.9676,6.9531,6.9392,6.926,6.9134,6.9013,6.8898,6.8789,6.8685,6.8586,6.8491,6.8402,6.8316,6.8235,6.8159,6.8085,6.8016,6.7951,6.7888,6.7829,6.7773,6.7721,6.7671,6.7623,6.7579,6.7537,6.7497,6.7459,6.7424,6.739,6.7359,6.733,6.7302,6.7276,6.7251,6.7228,6.7206,6.7186,6.7167,6.7149,6.7132,6.7117,6.7102,6.7089,6.7076,6.7064,6.7053,6.7043,6.7033,6.7024,6.7016,6.7008,6.7001,6.6994,6.6988,6.6983,6.6978,6.6973,6.6969,6.6965,6.6961,6.6958,6.6955,6.6953,6.695,6.6948,6.6947,6.6946,6.6945,6.6944,6.6943,6.6943
7.5692,7.5209,7.4742,7.4289,7.3852,7.3428,7.3019,7.2624,7.2242,7.1873,7.1517,7.1173,7.0841,7.0521,7.0212,6.9915,6.9628,6.9352,6.9086,6.8829,6.8583,6.8346,6.8118,6.7899,6.7688,6.7486,6.7291,6.7105,6.6926,6.6754,6.6589,6.6432,6.628,6.6136,6.5997,6.5864,6.5737,6.5616,6.55,6.5389,6.5283,6.5182,6.5085,6.4993,6.4905,6.4821,6.4742,6.4666,6.4593,6.4525,6.4459,6.4397,6.4338,6.4282,6.4229,6.4178,6.413,6.4085,6.4041,6.4001,6.3962,6.3925,6.3891,6.3858,6.3827,6.3798,6.3771,6.3745,6.372,6.3697,6.3675,6.3655,6.3636,6.3618,6.3601,6.3585,6.357,6.3556,6.3543,6.3531,6.352,6.351,6.35,6.3491,6.3482,6.3475,6.3468,6.3461,6.3455,6.345,6.3445,6.3441,6.3437,6.3434,6.3431,6.3429,6.3427,6.3426,6.3425,6.3425
7.4059,7.3543,7.3043,7.2558,7.2087,7.1632,7.119,7.0763,7.0349,6.9948,6.956,6.9185,6.8822,6.8471,6.8132,6.7804,6.7487,6.7182,6.6886,6.6601,6.6326,6.6061,6.5805,6.5558,6.532,6.5091,6.4871,6.4658,6.4454,6.4257,6.4067,6.3885,6.371,6.3542,6.338,6.3225,6.3076,6.2933,6.2796,6.2664,6.2538,6.2417,6.2301,6.219,6.2084,6.1982,6.1885,6.1792,6.1703,6.1618,6.1537,6.1459,6.1385,6.1315,6.1247,6.1183,6.1122,6.1063,6.1008,6.0955,6.0905,6.0857,6.0812,6.0769,6.0728,6.0689,6.0652,6.0617,6.0584,6.0552,6.0523,6.0495,6.0468,6.0443,6.0419,6.0397,6.0376,6.0356,6.0338,6.0321,6.0304,6.0289,6.0275,6.0262,6.0249,6.0238,6.0227,6.0218,6.0209,6.0201,6.0194,6.0187,6.0182,6.0177,6.0173,6.0169,6.0167,6.0165,6.0164,6.0163
