1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.285,1.2886,1.292,1.2951,1.2979,1.3004,1.3028,1.3049,1.3068,1.3085,1.3101,1.3115,1.3127,1.3139,1.3149,1.3158,1.3166,1.3173,1.318,1.3185,1.319,1.3194,1.3198,1.3202,1.3205,1.3207,1.3209,1.3211,1.3213,1.3214,1.3216,1.3217,1.3218,1.3219,1.3219,1.322,1.322,1.3221,1.3221,1.3221,1.3222,1.3222,1.3222,1.3222,1.3222,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223,1.3223
1.5309,1.5378,1.5444,1.5505,1.5563,1.5617,1.5668,1.5716,1.5761,1.5803,1.5843,1.5879,1.5914,1.5946,1.5976,1.6003,1.6029,1.6053,1.6075,1.6096,1.6115,1.6133,1.6149,1.6164,1.6178,1.619,1.6202,1.6213,1.6223,1.6232,1.624,1.6248,1.6254,1.6261,1.6266,1.6272,1.6276,1.6281,1.6285,1.6288,1.6291,1.6294,1.6297,1.6299,1.6301,1.6303,1.6305,1.6307,1.6308,1.6309,1.631,1.6311,1.6312,1.6313,1.6314,1.6314,1.6315,1.6315,1.6316,1.6316,1.6316,1.6317,1.6317,1.6317,1.6318,1.6318,1.6318,1.6318,1.6318,1.6318,1.6318,1.6318,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319
1.7509,1.7608,1.7702,1.7791,1.7877,1.7958,1.8036,1.8109,1.8179,1.8246,1.8309,1.8369,1.8426,1.848,1.8531,1.8579,1.8625,1.8668,1.8709,1.8748,1.8784,1.8818,1.885,1.8881,1.8909,1.8936,1.8961,1.8985,1.9007,1.9028,1.9047,1.9065,1.9082,1.9098,1.9113,1.9126,1.9139,1.9151,1.9162,1.9173,1.9182,1.9191,1.9199,1.9207,1.9214,1.922,1.9227,1.9232,1.9237,1.9242,1.9246,1.925,1.9254,1.9257,1.9261,1.9263,1.9266,1.9268,1.9271,1.9273,1.9274,1.9276,1.9278,1.9279,1.928,1.9281,1.9283,1.9283,1.9284,1.9285,1.9286,1.9286,1.9287,1.9288,1.9288,1.9289,1.9289,1.9289,1.929,1.929,1.929,1.929,1.9291,1.9291,1.9291,1.9291,1.9291,1.9291,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292
1.9504,1.9629,1.975,1.9865,1.9976,2.0082,2.0184,2.0282,2.0376,2.0466,2.0552,2.0635,2.0713,2.0789,2.0861,2.093,2.0995,2.1058,2.1118,2.1175,2.1229,2.1281,2.133,2.1377,2.1421,2.1464,2.1504,2.1542,2.1578,2.1612,2.1645,2.1676,2.1705,2.1732,2.1758,2.1783,2.1806,2.1828,2.1849,2.1868,2.1887,2.1904,2.192,2.1936,2.195,2.1964,2.1976,2.1988,2.2,2.201,2.202,2.2029,2.2038,2.2046,2.2053,2.206,2.2067,2.2073,2.2078,2.2084,2.2089,2.2093,2.2097,2.2101,2.2105,2.2108,2.2111,2.2114,2.2117,2.212,2.2122,2.2124,2.2126,2.2128,2.2129,2.2131,2.2132,2.2134,2.2135,2.2136,2.2137,2.2138,2.2139,2.214,2.214,2.2141,2.2142,2.2142,2.2143,2.2143,2.2144,2.2144,2.2144,2.2145,2.2145,2.2145,2.2146,2.2146,2.2146,2.2146,2.2146,2.2146,2.2147,2.2147,2.2147,2.2147,2.2147,2.2147,2.2147,2.2147,2.2147,2.2147,2.2147,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148,2.2148
2.1327,2.1476,2.1621,2.176,2.1894,2.2024,2.2149,2.2269,2.2386,2.2497,2.2605,2.2709,2.2808,2.2904,2.2997,2.3085,2.317,2.3252,2.333,2.3406,2.3478,2.3547,2.3613,2.3677,2.3738,2.3796,2.3852,2.3905,2.3956,2.4004,2.4051,2.4095,2.4138,2.4178,2.4217,2.4253,2.4288,2.4321,2.4353,2.4383,2.4412,2.4439,2.4465,2.4489,2.4513,2.4535,2.4556,2.4576,2.4595,2.4612,2.4629,2.4645,2.466,2.4675,2.4688,2.4701,2.4713,2.4724,2.4735,2.4745,2.4754,2.4763,2.4771,2.4779,2.4787,2.4794,2.48,2.4806,2.4812,2.4818,2.4823,2.4827,2.4832,2.4836,2.484,2.4843,2.4847,2.485,2.4853,2.4856,2.4858,2.486,2.4863,2.4865,2.4867,2.4868,2.487,2.4872,2.4873,2.4874,2.4876,2.4877,2.4878,2.4879,2.488,2.4881,2.4881,2.4882,2.4883,2.4883,2.4884,2.4884,2.4885,2.4885,2.4886,2.4886,2.4886,2.4887,2.4887,2.4887,2.4888,2.4888,2.4888,2.4888,2.4888,2.4889,2.4889,2.4889,2.4889,2.4889,2.4889,2.4889,2.4889,2.4889,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489,2.489
2.2998,2.317,2.3337,2.3498,2.3654,2.3805,2.3951,2.4093,2.423,2.4362,2.449,2.4614,2.4734,2.4849,2.4961,2.5068,2.5172,2.5272,2.5369,2.5462,2.5551,2.5638,2.5721,2.5801,2.5878,2.5952,2.6024,2.6092,2.6158,2.6221,2.6282,2.634,2.6396,2.645,2.6501,2.6551,2.6598,2.6643,2.6687,2.6728,2.6768,2.6806,2.6843,2.6877,2.691,2.6942,2.6972,2.7001,2.7029,2.7055,2.708,2.7104,2.7127,2.7149,2.7169,2.7189,2.7207,2.7225,2.7242,2.7258,2.7273,2.7287,2.7301,2.7314,2.7326,2.7338,2.7349,2.7359,2.7369,2.7379,2.7387,2.7396,2.7404,2.7411,2.7418,2.7425,2.7431,2.7437,2.7442,2.7448,2.7452,2.7457,2.7461,2.7465,2.7469,2.7473,2.7476,2.7479,2.7482,2.7485,2.7488,2.749,2.7493,2.7495,2.7497,2.7499,2.75,2.7502,2.7503,2.7505,2.7506,2.7507,2.7509,2.751,2.7511,2.7512,2.7512,2.7513,2.7514,2.7515,2.7515,2.7516,2.7517,2.7517,2.7518,2.7518,2.7518,2.7519,2.7519,2.7519,2.752,2.752,2.752,2.7521,2.7521,2.7521,2.7521,2.7521,2.7522,2.7522,2.7522,2.7522,2.7522,2.7522,2.7522,2.7522,2.7522,2.7522,2.7523,2.7523,2.7523,2.7523,2.7523,2.7523,2.7523,2.7523,2.7523,2.7523,2.7523,2.7523
2.4537,2.473,2.4917,2.5098,2.5275,2.5446,2.5612,2.5773,2.5929,2.6081,2.6228,2.6371,2.6509,2.6643,2.6773,2.6898,2.702,2.7138,2.7251,2.7362,2.7468,2.7571,2.7671,2.7767,2.786,2.7949,2.8036,2.812,2.82,2.8278,2.8353,2.8425,2.8495,2.8562,2.8627,2.8689,2.8749,2.8807,2.8862,2.8916,2.8967,2.9016,2.9063,2.9109,2.9153,2.9194,2.9235,2.9273,2.931,2.9346,2.938,2.9412,2.9443,2.9473,2.9502,2.9529,2.9555,2.958,2.9604,2.9627,2.9649,2.9669,2.9689,2.9708,2.9726,2.9743,2.976,2.9775,2.979,2.9804,2.9818,2.9831,2.9843,2.9854,2.9865,2.9876,2.9886,2.9895,2.9904,2.9913,2.9921,2.9928,2.9935,2.9942,2.9949,2.9955,2.9961,2.9966,2.9971,2.9976,2.9981,2.9985,2.9989,2.9993,2.9997,3,3.0003,3.0006,3.0009,3.0012,3.0014,3.0017,3.0019,3.0021,3.0023,3.0025,3.0027,3.0028,3.003,3.0031,3.0033,3.0034,3.0035,3.0036,3.0037,3.0038,3.0039,3.004,3.0041,3.0042,3.0042,3.0043,3.0044,3.0044,3.0045,3.0045,3.0046,3.0046,3.0046,3.0047,3.0047,3.0047,3.0048,3.0048,3.0048,3.0048,3.0049,3.0049,3.0049,3.0049,3.0049,3.0049,3.005,3.005,3.005,3.005,3.005,3.005,3.005,3.005
2.5959,2.617,2.6376,2.6576,2.6771,2.6961,2.7145,2.7325,2.75,2.7669,2.7834,2.7995,2.815,2.8302,2.8449,2.8591,2.873,2.8864,2.8994,2.9121,2.9243,2.9362,2.9477,2.9589,2.9697,2.9802,2.9904,3.0002,3.0097,3.0189,3.0278,3.0364,3.0447,3.0527,3.0605,3.068,3.0753,3.0823,3.089,3.0956,3.1019,3.1079,3.1138,3.1194,3.1249,3.1301,3.1352,3.14,3.1447,3.1492,3.1535,3.1577,3.1617,3.1656,3.1693,3.1728,3.1763,3.1795,3.1827,3.1857,3.1886,3.1914,3.1941,3.1966,3.1991,3.2014,3.2036,3.2058,3.2079,3.2098,3.2117,3.2135,3.2152,3.2169,3.2184,3.2199,3.2214,3.2227,3.224,3.2253,3.2264,3.2276,3.2286,3.2297,3.2306,3.2316,3.2324,3.2333,3.2341,3.2348,3.2356,3.2362,3.2369,3.2375,3.2381,3.2386,3.2392,3.2397,3.2401,3.2406,3.241,3.2414,3.2418,3.2421,3.2425,3.2428,3.2431,3.2434,3.2437,3.2439,3.2442,3.2444,3.2446,3.2448,3.245,3.2452,3.2453,3.2455,3.2456,3.2458,3.2459,3.246,3.2462,3.2463,3.2464,3.2465,3.2466,3.2466,3.2467,3.2468,3.2469,3.2469,3.247,3.247,3.2471,3.2471,3.2472,3.2472,3.2473,3.2473,3.2473,3.2473,3.2474,3.2474,3.2474,3.2474,3.2474,3.2474,3.2474,3.2474
2.7276,2.7505,2.7728,2.7946,2.8158,2.8365,2.8567,2.8764,2.8955,2.9142,2.9324,2.95,2.9673,2.984,3.0003,3.0162,3.0316,3.0466,3.0612,3.0754,3.0892,3.1026,3.1156,3.1283,3.1405,3.1524,3.164,3.1752,3.1861,3.1967,3.2069,3.2169,3.2265,3.2358,3.2449,3.2536,3.2621,3.2703,3.2783,3.286,3.2934,3.3006,3.3076,3.3143,3.3209,3.3272,3.3332,3.3391,3.3448,3.3503,3.3555,3.3607,3.3656,3.3703,3.3749,3.3793,3.3836,3.3877,3.3916,3.3954,3.3991,3.4026,3.406,3.4093,3.4124,3.4154,3.4183,3.4211,3.4238,3.4264,3.4288,3.4312,3.4335,3.4357,3.4378,3.4398,3.4417,3.4435,3.4453,3.447,3.4486,3.4502,3.4517,3.4531,3.4544,3.4557,3.457,3.4582,3.4593,3.4604,3.4614,3.4624,3.4634,3.4643,3.4651,3.4659,3.4667,3.4675,3.4682,3.4688,3.4695,3.4701,3.4707,3.4712,3.4717,3.4722,3.4727,3.4732,3.4736,3.474,3.4744,3.4747,3.4751,3.4754,3.4757,3.476,3.4763,3.4766,3.4768,3.477,3.4773,3.4775,3.4777,3.4779,3.478,3.4782,3.4784,3.4785,3.4786,3.4788,3.4789,3.479,3.4791,3.4792,3.4793,3.4794,3.4795,3.4795,3.4796,3.4796,3.4797,3.4797,3.4798,3.4798,3.4799,3.4799,3.4799,3.4799,3.4799,3.4799
